industry,total_laid_off
"Insurtech, cloud computing",95.0
CONSTRUCTION,95.0
"health care, health insurance",95.0
"Cloud services, cybersecurity",95.0
Digital Intelligence,95.0
EV financing platform,95.0
health care,95.0
Crowdfunding,94.0
Game studio,93.0
Health care,92.0
"Insurance, fintech",90.0
"CRM, IT",90.0
gaming,89.0
Computers and Electronics Manufacturing,88.0
"SaaS, data",87.0
"Speech recognition, artificial intelligence",85.0
"E-commerce, retail",84.0
support,84.0
"Career planning, social network",82.0
Employment Marketplace,80.0
"SaaS, meeting software",80.0
Consumer Services,80.0
Data storage,80.0
cryptocurrency,80.0
Natural Language Processing,80.0
ANALYTICS,80.0
"E-commerce, consumer lending",79.0
Digital Marketing,78.0
"Saas, APIs",76.0
food and beverage,75.0
"Human resources, recruiting",75.0
IT Infrastructure,75.0
AI chip startup,75.0
"Developer APIs, enterprise software",75.0
aerospace,74.0
Autonomous vehicles,72.0
edtech,72.0
"Visual collaboration, Apps",71.0
"Saas, enterprise software",70.0
"AI, Sales",70.0
"marketing, media",70.0
Appliances. Electrical. and Electronics Manufacturing,70.0
"cybersecurity, cloud infrastructure",69.0
"SecOps, security",65.0
Vehicle Cybersecurity,65.0
"Enterprise software, e-commerce",65.0
Advancement of Semiconductor Technology,64.0
Computer games,63.0
"Ecommerce, Fashion",63.0
"INSURTECH, TRANSPORTATION",60.0
"News, media",60.0
legal,60.0
"PropTech, Real Estate",60.0
"retail, e-commerce",60.0
"productivity, marketing",60.0
"enterprise software, productivity",58.0
AI startup,57.0
recruiting platform,57.0
"PropTech, InsurTech",57.0
"edtech, artificial intelligence",55.0
"Health care, analytics",55.0
Wellness and Fitness Services,55.0
talent marketplace,54.0
automotive,54.0
Spectator Sports,54.0
Computer memory,52.0
"AgTech, food and beverage",50.0
"Collaboration, productivity",50.0
"health care, wellness",50.0
Conversation Media Platform,50.0
Online travel agency and search engine,50.0
conversational ai,50.0
"telehealth, wellness",50.0
"Insurtech, fintech",47.0
Product Design,46.0
SaaS,45.0
"consumer lending, fintech",45.0
"engineering, software",45.0
"automation, IT",45.0
"proptech, advertising",44.0
Autonomous Driving Company,43.0
"Food Tech, Software, Grocery Tech",43.0
"Marketing Tech, SMS Marketing",43.0
Venture capital fund,42.0
manufacturing,42.0
Legal Intelligence,40.0
Business catering,40.0
"Fintech, payments",40.0
"robotics, ai",40.0
"Video production, marketing",40.0
"FOOD DELIVERY, ECOMMERCE",40.0
"delivery, e-commerce",40.0
cloud,40.0
"Video games, blockchain",40.0
"health care, clinical trials",40.0
social media,40.0
"human resources, SaaS",39.0
SEO Software,36.0
Surveillance,33.0
"Employee Benefits, HR Tech",32.0
"health care, analytics",32.0
"fintech, personal finance",32.0
3D Printing,31.0
"E-commerce, marketplace",31.0
Social media management,30.0
"Smart Home, Security",30.0
Data Analytics,30.0
"developer APIs, enterprise software",30.0
"analytics, SaaS",30.0
Sales tech,30.0
AEROSPACE,30.0
"Shipping, Logistics",30.0
Game Studio,30.0
"Fintech, analytics",30.0
"IT, software",30.0
The Animation Tool for UI/UX Designers.,30.0
"Product design, apparel",27.0
ai,27.0
HR Tech,26.0
Productivity Tools,26.0
"Cybersecurity, enterprise software",25.0
identity verification,24.0
"E-commerce, fashion",24.0
Video Conferencing Software,24.0
News,24.0
"Enterprise software, Management information systems",24.0
Software,23.0
"ADTECH, DIGITAL MARKETING",23.0
Marketing tech,23.0
AI transcription and captioning,22.0
"FinTech, loan repayments",20.0
"SOCIAL MEDIA, CREATOR ECONOMY",20.0
digital marketing,20.0
"fintech, data analytics",20.0
Social posting site,20.0
CRYPTOCURRENCY,20.0
"wellness, consumer goods",17.0
Publishing,15.0
Productivity software,14.0
"ESPORTS, MEDIA",12.0
"privacy tech, marketing tech",7.0
E-Learning,5.0
"AI, image recognition",3.0
Elder Care,0.0
