Feature,Mean_Absolute_SHAP
cat__record_id_layoff_05233,0.0
cat__record_id_layoff_05232,0.0
cat__record_id_layoff_05231,0.0
cat__record_id_layoff_05276,0.0
cat__record_id_layoff_05227,0.0
cat__record_id_layoff_05226,0.0
cat__record_id_layoff_05223,0.0
cat__record_id_layoff_05222,0.0
cat__record_id_layoff_05221,0.0
cat__record_id_layoff_05220,0.0
cat__record_id_layoff_05218,0.0
cat__record_id_layoff_05217,0.0
cat__record_id_layoff_05216,0.0
cat__record_id_layoff_05215,0.0
cat__record_id_layoff_05214,0.0
cat__record_id_layoff_05213,0.0
cat__record_id_layoff_05228,0.0
cat__record_id_layoff_05275,0.0
cat__record_id_layoff_05274,0.0
cat__record_id_layoff_05272,0.0
cat__record_id_layoff_05271,0.0
cat__record_id_layoff_05270,0.0
cat__record_id_layoff_05269,0.0
cat__record_id_layoff_05267,0.0
cat__record_id_layoff_05266,0.0
cat__record_id_layoff_05265,0.0
cat__record_id_layoff_05264,0.0
cat__record_id_layoff_05263,0.0
cat__record_id_layoff_05262,0.0
cat__record_id_layoff_05246,0.0
cat__record_id_layoff_05260,0.0
cat__record_id_layoff_05259,0.0
cat__record_id_layoff_05258,0.0
cat__record_id_layoff_05257,0.0
cat__record_id_layoff_05256,0.0
cat__record_id_layoff_05254,0.0
cat__record_id_layoff_05253,0.0
cat__record_id_layoff_05252,0.0
cat__record_id_layoff_05250,0.0
cat__record_id_layoff_05249,0.0
cat__record_id_layoff_05248,0.0
cat__record_id_layoff_05247,0.0
cat__record_id_layoff_05261,0.0
cat__record_id_layoff_05444,0.0
cat__record_id_layoff_05443,0.0
cat__record_id_layoff_05442,0.0
cat__record_id_layoff_05440,0.0
cat__record_id_layoff_05439,0.0
cat__record_id_layoff_05438,0.0
cat__record_id_layoff_05437,0.0
cat__record_id_layoff_05435,0.0
cat__record_id_layoff_05434,0.0
cat__record_id_layoff_05433,0.0
cat__record_id_layoff_05432,0.0
cat__record_id_layoff_05431,0.0
cat__record_id_layoff_05340,0.0
cat__record_id_layoff_05429,0.0
cat__record_id_layoff_05427,0.0
cat__record_id_layoff_05426,0.0
cat__record_id_layoff_05424,0.0
cat__record_id_layoff_05422,0.0
cat__record_id_layoff_05421,0.0
cat__record_id_layoff_05418,0.0
cat__record_id_layoff_05417,0.0
cat__record_id_layoff_05416,0.0
cat__record_id_layoff_05415,0.0
cat__record_id_layoff_05414,0.0
cat__record_id_layoff_05413,0.0
cat__record_id_layoff_05430,0.0
cat__record_id_layoff_05472,0.0
cat__record_id_layoff_05471,0.0
cat__record_id_layoff_05470,0.0
cat__record_id_layoff_05469,0.0
cat__record_id_layoff_05468,0.0
"cat__city_Bay Area, CA",0.0
cat__record_id_layoff_05466,0.0
cat__record_id_layoff_05465,0.0
cat__record_id_layoff_05464,0.0
cat__record_id_layoff_05463,0.0
cat__record_id_layoff_05462,0.0
cat__record_id_layoff_05461,0.0
cat__record_id_layoff_05446,0.0
cat__record_id_layoff_05459,0.0
cat__record_id_layoff_05458,0.0
cat__record_id_layoff_05457,0.0
cat__record_id_layoff_05456,0.0
cat__record_id_layoff_05455,0.0
cat__record_id_layoff_05454,0.0
cat__record_id_layoff_05452,0.0
cat__record_id_layoff_05451,0.0
cat__record_id_layoff_05450,0.0
cat__record_id_layoff_05449,0.0
cat__record_id_layoff_05448,0.0
cat__record_id_layoff_05447,0.0
cat__record_id_layoff_05460,0.0
cat__record_id_layoff_05375,0.0
cat__record_id_layoff_05371,0.0
cat__record_id_layoff_05369,0.0
cat__record_id_layoff_05368,0.0
cat__record_id_layoff_05367,0.0
cat__record_id_layoff_05365,0.0
cat__record_id_layoff_05364,0.0
cat__record_id_layoff_05363,0.0
cat__record_id_layoff_05362,0.0
cat__record_id_layoff_05361,0.0
cat__record_id_layoff_05360,0.0
cat__record_id_layoff_05358,0.0
cat__record_id_layoff_05411,0.0
cat__record_id_layoff_05355,0.0
cat__record_id_layoff_05354,0.0
cat__record_id_layoff_05353,0.0
cat__record_id_layoff_05352,0.0
cat__record_id_layoff_05350,0.0
cat__record_id_layoff_05348,0.0
cat__record_id_layoff_05347,0.0
cat__record_id_layoff_05346,0.0
cat__record_id_layoff_05345,0.0
cat__record_id_layoff_05343,0.0
cat__record_id_layoff_05342,0.0
cat__record_id_layoff_05341,0.0
cat__record_id_layoff_05357,0.0
cat__record_id_layoff_05409,0.0
cat__record_id_layoff_05408,0.0
cat__record_id_layoff_05406,0.0
cat__record_id_layoff_05405,0.0
cat__record_id_layoff_05404,0.0
cat__record_id_layoff_05403,0.0
cat__record_id_layoff_05401,0.0
cat__record_id_layoff_05400,0.0
cat__record_id_layoff_05398,0.0
cat__record_id_layoff_05397,0.0
cat__record_id_layoff_05396,0.0
cat__record_id_layoff_05395,0.0
cat__record_id_layoff_05377,0.0
cat__record_id_layoff_05392,0.0
cat__record_id_layoff_05391,0.0
cat__record_id_layoff_05390,0.0
cat__record_id_layoff_05388,0.0
cat__record_id_layoff_05385,0.0
cat__record_id_layoff_05384,0.0
cat__record_id_layoff_05383,0.0
cat__record_id_layoff_05382,0.0
cat__record_id_layoff_05381,0.0
cat__record_id_layoff_05380,0.0
cat__record_id_layoff_05379,0.0
cat__record_id_layoff_05378,0.0
cat__record_id_layoff_05393,0.0
cat__city_SAN DIEGO,0.0
cat__city_SAN ANTONIO,0.0
cat__city_SALT LAKE CITY,0.0
cat__city_SACRAMENTO,0.0
cat__city_Rochester,0.0
cat__city_Riyadh,0.0
cat__city_Richmond,0.0
"cat__city_Reston, VA",0.0
cat__city_Reno,0.0
"cat__city_Redwood City, CA",0.0
cat__city_Redwood City,0.0
cat__city_Bend,0.0
cat__city_Raleigh,0.0
cat__city_Ra'anana,0.0
cat__city_Quebec,0.0
"cat__city_Purchase, NY",0.0
cat__city_Pune,0.0
"cat__city_Provo, UT",0.0
cat__city_Providence,0.0
cat__city_Prague,0.0
cat__city_Porto Alegre,0.0
cat__city_Portland,0.0
cat__city_Port St. Lucie,0.0
cat__city_Pleasanton,0.0
cat__city_Ramat Gan,0.0
cat__city_San Leandro,0.0
"cat__city_San Jose, CA",0.0
cat__city_San Jose,0.0
cat__city_San Franicsco,0.0
cat__city_San Francsico,0.0
cat__city_San Francisco,0.0
cat__city_San Diego,0.0
"cat__city_San Carlos, CA",0.0
cat__city_San Carlos,0.0
cat__city_San Bruno,0.0
cat__city_San Antonio,0.0
cat__city_Salt Lake City,0.0
cat__city_SAN FRANCISCO,0.0
cat__city_Sacramento,0.0
cat__city_SYDNEY,0.0
cat__city_SUNNYVALE,0.0
cat__city_STOCKHOLM,0.0
cat__city_STAMFORD,0.0
cat__city_SINGAPORE,0.0
cat__city_SF BAY AREA,0.0
cat__city_SEATTLE,0.0
"cat__city_SARATOGA, CA",0.0
cat__city_SAO PAULO,0.0
cat__city_SANTA CLARA,0.0
cat__city_SAN MATEO,0.0
cat__city_Salisbury,0.0
cat__city_New York City,0.0
cat__city_New York,0.0
cat__city_New Orleans,0.0
cat__city_New Hope,0.0
cat__city_New Haven,0.0
"cat__city_New Delhi, New York City",0.0
cat__city_New Delhi,0.0
"cat__city_New City, NY",0.0
cat__city_Ness Ziona,0.0
cat__city_Needham,0.0
"cat__city_Nebraska City, NE",0.0
